Label,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30,Sample_31,Sample_32,Sample_33,Sample_34,Sample_35,Sample_36,Sample_37,Sample_38,Sample_39,Sample_40,Sample_41,Sample_42,Sample_43,Sample_44,Sample_45,Sample_46,Sample_47,Sample_48,Sample_49,Sample_50
k,1683.051362651448,1737.1780144657737,1960.6848353526411,2231.818109683523,2606.204535050508,2942.214789269692,3187.722281563769,3239.973876155889,3093.719412823877,2872.8376720480974,2626.3301492355117,2256.9438764610736,1979.935422833949,1736.3029877620777,1674.5511032441177,1737.1780144657737,1961.184850611896,2299.4451734977265,2705.0825525681325,3052.468153935362,3242.598956266976,3249.0991546372875,3046.9679860835595,2723.9581286049997,2371.572374645222,1988.6856898709068,1726.677694021424,1683.5513779107027,1769.6790063173316,2040.8122806482131,2376.57252723777,2760.209234900967,3010.9668874172185,3230.223578600421,3245.974059266945,3052.2181463057345,2687.0820032349625,2355.821893978698,1969.8101138340403,1753.8035218359937,1682.4263435773796,1728.0527359843743,1856.3066499832148,1886.1825617236852,1797.5548570207832,1713.8023010956144,1698.6768395031586,1701.301919614246,1716.8023926511428,1765.928891872921
l,2118.4396496475115,2623.705069124424,2952.4651020844144,2997.7164830469683,3127.4704428235727,3218.97323526719,3262.0995513779103,3284.475234229561,3298.350657673879,3310.351023895993,3310.476027710806,3278.3500473036893,3212.848048341319,3260.5995056001466,3226.3484603411976,3234.8487197485274,3275.97497482223,3240.723899044771,3267.84972685934,3303.4758140812405,3284.475234229561,3321.851374858852,3301.975768303476,3259.599475081637,3276.9750053407392,3192.3474227118745,3154.346263008515,3202.722739341411,3263.9746086001164,3265.4746543778806,3204.8478041932435,3169.2217169713435,3156.22132023072,3178.471999267556,3074.218817712943,3001.5916013061924,3015.3420209356977,3006.3417462691123,3000.216559343242,2986.4661397137365,2980.4659566026794,2842.2117374187446,2777.709768974883,2763.084322641682,2836.836573381756,2865.337443159276,2869.837580492569,2774.0846583452867,2770.834559160131,2853.5870845667896
m,2228.443006683553,1818.305490279855,1785.4294869838557,1749.678395947142,1767.5539414654988,1816.180425428022,1770.4290292062135,1790.8046510208442,1748.053346354564,1761.4287545396282,1740.8031250953704,1751.9284646137885,1752.1784722434154,1786.9295327616198,1772.4290902432324,1746.6783043916137,1751.8034607989748,1754.5535447248758,1754.1785332804343,1757.3036286507763,1754.9285561693166,1754.6785485396897,1757.4286324655905,1766.9289223914304,1787.3045442060609,1773.429120761742,1771.1790520950956,1780.3043305764947,1789.4296090578937,1793.5547349467454,1783.304422132023,1834.6809900204476,1806.4301278725547,1824.055665761284,1786.554521317179,1782.429395428327,1798.6798913541063,1835.5560167241435,1881.182409131138,1973.310220648824,1921.9336527603991,2025.8118228705707,2129.0649739066744,2357.321939756462,2365.197180089724,2304.1953184606464,2238.6933194982757,2167.566148869289,2152.3156834620195,2169.4412060914947
n,2583.328836939604,3181.8471022675253,3125.8453932309944,3086.3441877498703,3186.4722434156315,3152.2211981566816,3102.3446760460224,3069.9686880092777,3046.592974639119,2993.841364787744,2974.215765861996,3094.0944242683186,3066.343577379681,3031.342509231849,3241.473921933653,3307.975951414533,3303.350810266427,3351.3522751548817,3348.4771874141666,3365.727713858455,3361.102572710349,3358.477492599261,3370.7278664510027,3373.2279427472763,3379.6031373027745,3374.602984710227,3373.35294656209,3375.4780114139226,3375.72801904355,3375.853022858364,3369.727835932493,3348.3521835993533,3253.5992919705805,3047.4680013428147,2966.340525528733,2918.339060640278,2973.590746787927,2841.9617297891173,2638.2055116428114,2626.080141605884,2653.330973235267,2668.206427198096,2685.081942197943,2687.957029938658,2639.3305459761345,2587.0789513840145,2589.579027680288,2720.9580370494705,2628.705221716972,2444.949613940855
o,1705.1770378734702,1676.5511642811366,1792.9297158726768,1859.5567491683703,1895.4328440198983,1862.556840723899,1817.180455946532,1769.3039948728904,2005.811212500381,2125.4398632770776,2151.565660573138,2071.1882076479383,1973.935239722892,2070.938200018312,2130.565019684439,2069.688161870174,2193.1919309060945,2145.440473647267,2115.189550462356,2086.9386883144625,2088.313730277413,2262.319040498062,2384.572771385846,2306.445387127293,2265.694143498032,2280.819605090487,2430.8241828669093,2561.953184606464,2630.330271309549,2540.952543717765,2483.825800347911,2535.202368236335,2634.3303933835878,2643.5806756798,2567.328348643452,2691.957152012696,2627.205175939207,2562.7032074953463,2564.5782647175515,2547.2027344584485,2462.825159459212,2558.328073976867,2483.325785088656,2419.6988433484908,2379.5726187932983,2536.077394940031,2659.8311716055787,2647.33079012421,2635.08041627247,2589.954039124729
p,3134.095645008698,2630.70528275399,2101.189123203223,2130.440015869625,1941.434247871334,1863.3068636127807,1915.0584429456464,1832.05590990936,1800.9299600207528,1750.3034150212104,1798.6798913541063,1813.1803338724935,1770.679036835841,1747.8033387249368,1721.8025452436905,1731.3028351695302,1731.1778313547163,1743.4282052064575,1768.5539719840085,1820.9305703909424,1787.9295632801295,1880.057374797815,1950.6845301675469,1915.1834467604604,1953.3096102786335,2096.938993499557,2015.8115176854765,1941.9342631305888,1939.434186834315,1912.933378093814,1996.185918759728,2010.8113650929288,1953.809625537889,1925.8087710196237,2052.937650685141,2025.8118228705707,2046.4374523148288,1984.5605639820549,1974.0602435377057,2071.313211462752,2071.688222907193,2116.8146000549336,2067.813104647969,2227.692983794672,2376.822534867397,2377.1975463118383,2374.5724662007506,2253.3187658314764,2347.6966460158083,2298.945158238472
q,2799.085421308024,2989.716238898892,3118.22016052736,3243.9739982299266,3257.5994140446187,3209.8479567857903,3218.348216193121,3217.8482009338663,3260.849513229774,3270.4748069704274,3329.4766075624866,3277.600024414808,3275.849971007416,3310.1010162663656,3305.1008636738184,3317.351237525559,3308.475966673788,3311.60106204413,3273.7249061555835,3270.9748222296826,3293.4755088961456,3184.097170934172,3050.843104342784,2947.589953306681,2858.8372447889647,2801.835505233925,2738.7085787530136,2679.831781975768,2627.205175939207,2528.077150791956,2337.3213293862727,2051.4376049073767,1890.0576799829096,1815.3053987243263,1785.1794793542283,1778.4292733542895,1756.0535905026395,1758.5536667989134,1745.303262428663,1777.5542466505935,1887.6826075014496,1943.1843012787256,1995.0608844264043,2000.061037018952,1988.4356822412797,2035.93713187048,2185.0666829432053,2171.3162633137,2370.3223364970854,2555.0779747917118
r,3217.4731894894253,3218.723227637562,3138.095767082736,3154.721274452956,3098.2195501571705,3104.719748527482,3038.592730491043,2861.212317270424,2631.955320902127,2553.32792138432,2051.8126163518177,1887.6826075014496,1957.0597247230448,1901.6830347605824,1835.306009094516,1815.3053987243263,1809.680227057711,1843.6812646870328,1842.5562303537092,1810.9302652058475,1766.5539109469892,1758.1786553544723,1764.1788384655292,1768.1789605395672,1809.430219428083,1796.42982268746,2037.4371776482435,1990.560747093112,2160.065919980468,2269.444257942442,2199.067110202337,2341.196447645497,2300.070192571796,2365.572191534165,2483.325785088656,2593.8291573839533,2737.208532975249,2743.0837122714925,2765.3343913083286,2691.7071443830687,2809.2107303079315,2791.83520004883,2745.5837885677665,2752.208990752892,2819.836054567095,2991.466292306284,3077.3439130832853,3166.096621601001,3258.9744560075687,3376.8530533768726
s,3105.844782860805,2028.6869106112852,1933.3089999084443,1899.057954649495,1792.804712057863,1774.4291512802515,1772.5540940580463,1769.3039948728904,1772.179082613605,2020.1866512039555,2040.8122806482131,2159.315897091586,2226.9429609057893,2229.443037202063,2344.8215582750936,2378.9475997192294,2300.6952116458638,2295.8200628681293,2233.1931516464742,2356.0719016083253,2336.5713064973907,2494.826136051516,2552.5778984954377,2640.330576494644,2820.961088900418,2851.7120273445844,2902.8385876033817,2927.339335306864,2899.463484603412,3049.4680623798336,3222.0983306375315,3307.4759361552783,3338.6018860438858,3338.226874599445,3365.852717673269,3375.3530075991084,3351.602282784509,3356.9774468214973,3362.727622302926,3393.35355693228,3391.978514969329,3338.226874599445,3322.6013977477346,3381.1031830805387,3358.2274849696346,3330.476638080996,3268.974761192663,3199.0976287118137,3123.845332193976,3212.598040711692
t,2524.077028717917,1898.6829432050536,1780.179326761681,1750.1784112063965,1746.5533005767998,1751.5534531693472,1750.5534226508378,1777.1792352061527,1792.054689168981,1822.180608539079,1823.305642872402,1832.805932798242,1877.307290871914,1919.8085879085668,1970.060121463668,1963.9349345377973,1939.809198278756,2039.3122348704487,2111.189428388317,2136.0651875362405,2210.567461165197,2290.569902645955,2223.56785790582,2154.815759758293,2220.067751091037,2193.1919309060945,2144.815454573199,2162.440992461928,2266.9441816461685,2298.445142979217,2399.448225348674,2498.2012390514847,2599.454329050569,2665.0813318277537,2605.2045045319987,2604.329477828303,2497.3262123477894,2528.3271584215827,2605.704519791253,2524.077028717917,2532.3272804956205,2450.4497817926576,2412.323618274484,2348.946684163945,2504.576433606983,2474.450514236885,2528.202154606769,2732.333384197516,2837.4615924558248,2744.208746604816
